条目ID,文件名称(全称),文号,位阶,制定区域,发布机关/牵头机关,公布日期,施行日期,效力状态,失效或修订日期,主题标签(主),主题标签(次),条文定位,规范主体,适用条件,行为模式类型,行为模式内容,法律后果,原文摘录,关联条目,央地权限配置,地方自主权类型,核实来源,录入人,版本,录入日期,备注
S37-001,中华人民共和国节约能源法,无文号,法律,国家,全国人大及其常委会,2018-10-26,2018-10-26,现行有效,,海洋可再生能源,,第7条第3款,国家,一般情形,指导性,可再生能源能够获得国家的制度性支持,本条未设,国家鼓励、支持开发和利用新能源、可再生能源。,,未作规定,,国家法律法规数据库,S37,v1,2026-08-25,
S37-002,中华人民共和国节约能源法,无文号,法律,国家,全国人大及其常委会,2018-10-26,2018-10-26,现行有效,,海洋可再生能源,价格、财税与市场机制,第12条第2款,县级以上人民政府管理节能的工作部门,履行节能监管职责,禁止性,不能向监督管理对象收费,本条未设,履行节能监督管理职责不得向监督管理对象收取费用。,,统一执行,,国家法律法规数据库,S37,v1,2026-08-25,
S37-003,中华人民共和国节约能源法,无文号,法律,国家,全国人大及其常委会,2018-10-26,2018-10-26,现行有效,,海洋油气与矿产资源,价格、财税与市场机制,第62条,国家,对节约能源资源的税收政策倾斜,指导性,能源矿产实施有偿使用制度，国家使用税收政策调节该领域节能行为,本条未设,"国家实行有利于节约能源资源的税收政策,健  全能源矿产资源有偿使用制度,促进能源资源的节约及其开采利 用水平的提高。",,统一执行,,国家法律法规数据库,S37,v1,2026-08-25,
S37-004,中华人民共和国节约能源法,无文号,法律,国家,全国人大及其常委会,2018-10-26,2018-10-26,现行有效,,价格、财税与市场机制,能源基础设施,第66条第1款,国家,对节约能源资源的价格政策倾斜,指导性,国家使用价格政策协调单位与个人的行为,本条未设,"国家实行有利于节能的价格政策,引导用能单  位和个人节能。",,统一执行,,国家法律法规数据库,S37,v1,2026-08-25,
S37-005,关于推动海洋能规模化利用的指导意见,自然资发〔2025〕34号,政策文件,国家,自然资源部,2025-02-05,2025-02-05,现行有效,,海洋可再生能源,,第1段第1句,所有人,一般情形,定义性,海洋能属于可再生能源,本条未设,海洋能是重要的绿色可再生能源，包括潮汐能（含潮差能和潮流能）、波浪能、温差能、盐差能等。,,统一执行,,发布机关官网,S37,v1,2026-08-25,
S37-006,关于推动海洋能规模化利用的指导意见,自然资发〔2025〕34号,政策文件,国家,自然资源部,2025-02-05,2025-02-05,现行有效,,海洋可再生能源,规划与区划,第3段,负有职能的行政部门,开发利用海洋能,程序性,需要在海洋能开发利用之前，制定对应的规划,本条未设,科学核算，规划引领。分类分区开展海洋能资源调查和潜力核算，明晰资源分布，立足资源禀赋条件，适度前瞻预留发展空间，提升资源节约集约利用水平。,,未作规定,,发布机关官网,S37,v1,2026-08-25,
S37-007,关于推动海洋能规模化利用的指导意见,自然资发〔2025〕34号,政策文件,国家,自然资源部,2025-02-05,2025-02-05,现行有效,,海洋可再生能源,价格、财税与市场机制,第6段,负有职能的行政部门、海洋能源开发利用的市场主体,开发利用海洋能,指导性,海洋能开发利用活动中，负有职能的行政部门需要提供政策供给，市场主体需要利用市场机制。,本条未设,政策引导，市场主导。强化法律保障，加强政策支持，充分发挥市场机制作用，持续优化资源配置，营造良好发展环境。,,未作规定,,发布机关官网,S37,v1,2026-08-25,
S37-008,关于推动海洋能规模化利用的指导意见,自然资发〔2025〕34号,政策文件,国家,自然资源部,2025-02-05,2025-02-05,现行有效,,海洋可再生能源,海洋空间与用海管理,第7段,负有职能的中央行政部门、地方政府、市场主体,开发利用海洋能,指导性,海洋能开发利用协调央地主体之间、行政部门与市场主体之间的关系。包括法律关系。,本条未设,统筹协调，合力推进。坚持陆海统筹，兼顾岸、岛、深远海用能需求和生态保护要求，强化部门、地方和市场主体各方联动，同向发力、同频共振。,,未作规定,,发布机关官网,S37,v1,2026-08-25,
S37-009,关于推动海洋能规模化利用的指导意见,自然资发〔2025〕34号,政策文件,国家,自然资源部,2025-02-05,2025-02-05,现行有效,,海洋空间与用海管理,,第1项,负有职能的行政部门,海洋能开发利用之前,程序性,在开展海洋能开发利用活动之前，负有职能的行政部门需要开展资源调查评估工作，并建设对应数据库。,本条未设,加强资源调查评估。分类组织开展我国海洋能资源调查评估，开展资源分布规律、资源评价等基础研究，科学核算资源开发潜力，建设海洋能资源数据库和服务平台。,,统一执行,,发布机关官网,S37,v1,2026-08-25,【政策文件中，用（一）（二）（三）……（十八）这样的连续标号，未标部分用段，标号部分直接用项】
S37-010,关于推动海洋能规模化利用的指导意见,自然资发〔2025〕34号,政策文件,国家,自然资源部,2025-02-05,2025-02-05,现行有效,,规划与区划,海洋空间与用海管理,第2项,地方政府,海洋能开发利用之前,指导性,地方政府编制和实施地方国土空间规划、地方海域空间规划的过程中，可以将海洋能开发利用作为考虑因素。,本条未设,优化开发利用布局。鼓励沿海地方在国土空间规划和海岸带及近岸海域空间规划编制实施过程中，统筹考虑海洋能用地用海用岛需求和生态保护要求，在国土空间规划“一张图”上前瞻布局海洋能潜在开发区域，加强要素保障，推动海洋能分类有序开发，提升海域节约集约利用水平。,,授权细化,,发布机关官网,S37,v1,2026-08-25,
